 sa4_code16, sa4_name_2016,omh_p_marg_hsed_cpark, omh_p_oth_crwd_dwell, omh_p_oth_impor_dwell, hl_p_homeless_tot, hl_p_temp_oth_hholds, hl_p_oth_temp_lodgings, hl_p_supp_accom, hl_p_sever_crwd_dwell, hl_p_improv_dwell_tent_so, hl_p_boading_houses,homeless_total
101,Capital Region,143,228,222,656,260,21,136,131,93,16,1906
102,Central Coast,173,465,47,1031,332,13,235,137,197,124,2754
103,Central West,78,225,72,457,159,3,118,73,38,71,1294
104,Coffs Harbour - Grafton,242,414,164,615,182,13,140,169,91,25,2055
105,Far West and Orana,34,339,212,500,107,4,74,116,110,84,1580
106,Hunter Valley exc Newcastle,266,348,121,539,232,6,91,159,37,16,1815
107,Illawarra,207,508,8,1013,237,11,235,220,151,166,2756
108,Mid North Coast,371,394,75,683,280,17,269,66,58,3,2216
109,Murray,85,104,26,231,101,6,39,40,8,35,675
110,New England and North West,110,344,84,775,186,6,172,237,22,149,2085
111,Newcastle and Lake Macquarie,137,588,39,1208,252,4,270,176,175,328,3177
112,Richmond - Tweed,558,408,117,1267,344,26,187,137,429,146,3619
113,Riverina,66,275,51,389,125,12,48,137,27,47,1177
114,Southern Highlands and Shoalhaven,172,236,40,363,162,9,91,56,33,13,1175
115,Sydney - Baulkham Hills and Hawkesbury,77,428,69,383,95,0,18,249,9,8,1336
116,Sydney - Blacktown,68,2278,83,1554,196,0,217,1028,77,39,5540
117,Sydney - City and Inner South,0,3588,38,6196,250,20,624,2268,638,2398,16020
118,Sydney - Eastern Suburbs,0,763,0,1481,167,8,127,374,23,794,3737
119,Sydney - Inner South West,10,5634,5,3710,274,8,294,2730,18,388,13071
120,Sydney - Inner West,0,1784,0,2572,155,8,267,1141,40,960,6927
121,Sydney - North Sydney and Hornsby,0,600,0,1036,149,3,52,339,23,472,2674
122,Sydney - Northern Beaches,23,430,22,605,120,0,71,232,85,93,1681
123,Sydney - Outer South West,50,930,51,1045,198,3,373,421,15,33,3119
124,Sydney - Outer West and Blue Mountains,26,723,68,1223,211,8,473,426,63,44,3265
125,Sydney - Parramatta,4,5474,44,4347,225,0,441,3299,72,299,14205
126,Sydney - Ryde,0,496,7,485,75,0,37,320,0,47,1467
127,Sydney - South West,29,4283,94,3071,210,3,696,2085,53,27,10551
128,Sydney - Sutherland,76,236,0,266,95,0,58,67,9,43,850
201,Ballarat,37,131,28,529,89,0,239,70,22,105,1250
202,Bendigo,65,206,30,439,109,3,171,95,20,38,1176
203,Geelong,118,351,34,815,186,7,250,180,72,114,2127
204,Hume,156,188,40,507,139,4,182,104,51,20,1391
205,Latrobe - Gippsland,193,257,60,689,176,5,284,94,37,89,1884
206,Melbourne - Inner,0,2372,10,4843,411,42,1192,833,491,1876,12070
207,Melbourne - Inner East,0,746,7,1175,113,3,245,319,3,488,3099
208,Melbourne - Inner South,59,446,3,1225,137,6,556,273,13,243,2961
209,Melbourne - North East,7,1576,38,1770,243,9,749,618,18,131,5159
210,Melbourne - North West,85,2220,11,1433,162,8,342,880,18,29,5188
211,Melbourne - Outer East,96,859,38,1267,237,6,527,300,48,142,3520
212,Melbourne - South East,254,4840,36,4364,292,0,768,2610,42,654,13860
213,Melbourne - West,123,4569,18,3619,332,7,880,2123,45,235,11951
214,Mornington Peninsula,306,312,18,846,191,7,299,85,117,149,2330
215,North West,126,236,30,443,81,4,170,124,40,29,1283
216,Shepparton,184,395,27,539,112,5,150,182,57,40,1691
217,Warrnambool and South West,41,90,23,333,73,0,171,44,29,16,820
301,Brisbane - East,51,355,10,440,147,0,136,99,33,20,1291
302,Brisbane - North,245,408,10,525,118,0,197,146,19,50,1718
303,Brisbane - South,294,1080,13,1524,214,0,294,672,0,342,4433
304,Brisbane - West,0,200,4,301,94,0,13,151,0,50,813
305,Brisbane Inner City,9,752,11,2915,183,23,703,318,188,1505,6607
306,Cairns,298,1109,188,2362,432,28,391,883,238,388,6317
307,Darling Downs - Maranoa,108,213,94,349,155,9,20,114,46,8,1116
308,Central Queensland,215,424,224,929,260,3,143,195,131,195,2719
309,Gold Coast,429,1004,62,1723,548,61,233,392,228,263,4943
310,Ipswich,328,1208,57,1223,273,0,189,601,34,125,4038
311,Logan - Beaudesert,208,1593,41,1229,304,3,159,717,24,18,4296
312,Mackay - Isaac - Whitsunday,188,221,160,695,233,20,125,139,75,109,1965
313,Moreton Bay - North,220,521,54,894,301,0,174,337,40,47,2588
314,Moreton Bay - South,77,301,31,285,135,0,39,105,0,3,976
315,Queensland - Outback,110,1305,153,1892,201,5,108,1310,236,34,5354
316,Sunshine Coast,495,451,123,894,453,30,183,121,61,53,2864
317,Toowoomba,25,297,32,531,114,3,139,162,23,96,1422
318,Townsville,100,568,99,1483,215,4,230,722,91,216,3728
319,Wide Bay,542,503,381,1522,445,7,265,432,270,102,4469
401,Adelaide - Central and Hills,25,397,15,1078,153,17,237,154,126,395,2597
402,Adelaide - North,73,1584,31,1618,367,3,267,896,10,78,4927
403,Adelaide - South,87,393,19,986,295,4,315,216,26,129,2470
404,Adelaide - West,7,668,21,945,141,3,243,328,24,220,2600
405,Barossa - Yorke - Mid North,65,92,36,237,104,4,47,21,20,37,663
406,South Australia - Outback,53,372,70,695,76,0,174,350,89,0,1879
407,South Australia - South East,84,305,65,637,181,10,144,179,91,44,1740
501,Bunbury,186,184,133,443,201,0,28,110,80,26,1391
502,Mandurah,101,79,37,255,95,0,21,68,62,10,728
503,Perth - Inner,0,255,4,943,84,14,387,108,278,73,2146
504,Perth - North East,47,587,79,728,142,0,97,341,58,88,2167
505,Perth - North West,39,1131,39,954,280,6,74,499,26,73,3121
506,Perth - South East,104,1415,44,1446,296,0,90,769,62,229,4455
507,Perth - South West,83,486,36,976,260,0,124,222,82,280,2549
509,Western Australia - Wheat Belt,93,247,153,426,149,10,25,139,75,23,1340
510,Western Australia - Outback (North),192,1008,141,1868,224,10,125,1157,228,129,5082
511,Western Australia - Outback (South),179,390,126,980,217,9,88,448,148,70,2655
601,Hobart,28,311,39,848,241,12,292,137,72,91,2071
602,Launceston and North East,19,163,40,376,124,4,127,68,18,38,977
603,South East,3,84,33,64,36,0,0,11,12,0,243
604,West and North West,83,112,19,325,85,9,158,43,27,5,866
701,Darwin,105,796,119,1762,254,10,317,458,525,204,4550
702,Northern Territory - Outback,166,4318,164,11963,165,11,321,10604,576,285,28573
801,Australian Capital Territory,42,704,0,1599,271,7,805,370,54,97,3949
901,Other Territories,0,30,0,27,0,0,0,23,4,0,84